"omitted","RR","RR_lci","RR_uci","I2","tau2"
"Aronson (1948)",0.4931,0.3398,0.7155,93.23,0.3362
"Ferguson & Simes (1949)",0.5199,0.3649,0.7409,92.25,0.2926
"Rosenthal et al (1960)",0.5038,0.3501,0.725,92.94,0.3207
"Hart & Sutherland (1977)",0.5334,0.3774,0.7541,90.41,0.2628
"Frimodt-Moller et al (1973)",0.4657,0.3198,0.6782,92.76,0.3278
"Stein & Aronson (1953)",0.4912,0.3318,0.7273,90.91,0.3596
"Vandiviere et al (1973)",0.5193,0.3646,0.7397,92.28,0.293
"TPT Madras (1980)",0.4517,0.3175,0.6426,87.03,0.2732
"Coetzee & Berjak (1968)",0.4765,0.3241,0.7007,93.21,0.3495
"Rosenthal et al (1961)",0.5205,0.3627,0.7469,92.23,0.2987
"Comstock et al (1974)",0.4687,0.3193,0.6879,91.81,0.3405
"Comstock & Webster (1969)",0.4678,0.3274,0.6684,92.68,0.3082
"Comstock et al (1976)",0.4595,0.3194,0.6611,92.34,0.3037
