"term","estimate","ci_lower","ci_upper","p"
"(Intercept)",0.00242368605785488,0.00107131483431813,0.00548321923571512,1.80458580439621e-06
"Obesity (BMI>=30 vs <30)",2.94605727748464,2.18189439593153,3.9778522271307,0.00020192049910599
"Age (per year)",1.059773398929,1.04905018236575,1.07060622642927,1.01572058898034e-05
"Female (vs Male)",0.67661012611914,0.531495844081885,0.861344952861807,0.0156665535337601
"Mexican American (vs NH White)",1.9413609006507,1.14415802885648,3.2940223741139,0.0435146134425005
"Other Hispanic (vs NH White)",1.64122423842486,0.968379409248008,2.7815719490411,0.108245166049639
"Non-Hispanic Black (vs NH White)",2.02431522189804,1.36026686140844,3.01253543247031,0.0103089757368837
"Non-Hispanic Asian (vs NH White)",3.11178148005007,2.02419668310397,4.78371694826322,0.00128923126765854
"Other/Multiracial (vs NH White)",1.96208602129264,1.15510787526095,3.33283292184491,0.0413881594877645
