"variable","level","No diabetes","Diabetes","p","test"
"n","","202668468.2","26845248.9","",""
"age..mean..SD..","","       46.2 (16.9)","      61.6 (12.9)","<0.001",""
"sex_f....","Male","       47.2","      54.1"," 0.085",""
"X","Female","       52.8","      45.9","",""
"race_f....","Mexican American","        8.8","       8.4"," 0.144",""
"X.1","Other Hispanic","        7.2","       5.1","",""
"X.2","Non-Hispanic White","       62.5","      62.6","",""
"X.3","Non-Hispanic Black","       11.3","      11.5","",""
"X.4","Non-Hispanic Asian","        5.7","       6.4","",""
"X.5","Other/Multiracial","        4.6","       5.9","",""
"BMXBMI..mean..SD..","","       29.3 (7.1)","      33.3 (7.5)","<0.001",""
"obesity_f....","Non-obese (BMI<30)","       60.4","      37.5","<0.001",""
"X.6","Obese (BMI>=30)","       39.6","      62.5","",""
