date,path,title,count,uniques
"2026-06-22","/Aperivue/medsci-skills","Overview",904,604
"2026-06-22","/Aperivue/medsci-skills/tree/main/skills","/tree/main/skills",98,56
"2026-06-22","/Aperivue/medsci-skills/tree/main","/tree/main",51,26
"2026-06-22","/Aperivue/medsci-skills/issues","/issues",29,21
"2026-06-22","/Aperivue/medsci-skills/releases","/releases",22,5
"2026-06-22","/Aperivue/medsci-skills/tree/main/demo/02_metafor_bcg","/tree/main/demo/02_metafor_bcg",19,6
"2026-06-22","/Aperivue/medsci-skills/tree/main/.claude-plugin","/tree/main/.claude-plugin",14,10
"2026-06-22","/Aperivue/medsci-skills/blob/main/docs/setup/mcp-setup.md","/blob/main/docs/setup/mcp-setup.md",14,9
"2026-06-22","/Aperivue/medsci-skills/releases/tag/v4.3.0","/releases/tag/v4.3.0",13,9
"2026-06-22","/Aperivue/medsci-skills/blob/main/README.md","/blob/main/README.md",12,8
"2026-06-24","/Aperivue/medsci-skills","Overview",908,623
"2026-06-24","/Aperivue/medsci-skills/tree/main/skills","/tree/main/skills",92,53
"2026-06-24","/Aperivue/medsci-skills/tree/main","/tree/main",58,26
"2026-06-24","/Aperivue/medsci-skills/issues","/issues",33,23
"2026-06-24","/Aperivue/medsci-skills/releases","/releases",21,4
"2026-06-24","/Aperivue/medsci-skills/tree/main/demo/02_metafor_bcg","/tree/main/demo/02_metafor_bcg",20,6
"2026-06-24","/Aperivue/medsci-skills/tree/main/.claude-plugin","/tree/main/.claude-plugin",16,12
"2026-06-24","/Aperivue/medsci-skills/blob/main/README.md","/blob/main/README.md",15,10
"2026-06-24","/Aperivue/medsci-skills/releases/tag/v4.3.0","/releases/tag/v4.3.0",14,9
"2026-06-24","/Aperivue/medsci-skills/blob/main/demo/01_wisconsin_bc","/blob/main/demo/01_wisconsin_bc",13,6
